1 7 1 0 6
0 5 0 1 13
1 8 0 2 8
0 1 0 0 0
1 3 0 0 0
0 1 0 1 0
1 1 0 1 1
5 0 0 1 0
1 1 0 4 0
2 2 0 1 2
0 3 0 1 0
1 0 0 0 0
2 0 0 0 0
2 0 0 1 1
2 3 0 0 0
2 2 5 5 3
2 4 4 7 2
1 4 7 9 1
0 6 8 13 7
1 9 10 15 6
2 14 9 8 5
3 13 3 20 4
1 6 7 8 1
2 5 4 12 3
3 7 5 17 4
4 5 8 21 4
1 10 7 19 8
6 3 5 29 10
7 10 4 19 0
2 12 2 23 5
6 15 2 22 8
1 9 25 25 3
2 11 12 34 6
6 9 10 20 4
5 8 8 18 6
1 11 7 17 4
2 15 17 19 3
2 6 14 24 3
3 9 12 13 3
7 14 9 12 5
6 7 9 23 5
2 10 13 26 3
4 7 13 21 2
5 11 6 18 3
3 12 6 21 4
3 2 17 22 2
3 11 9 18 2
5 7 12 19 3
3 7 10 19 3
3 11 1 14 4
2 7 12 26 7
4 6 8 18 3
0 4 6 19 3
2 4 6 14 2
0 2 6 22 5
2 7 2 15 1
2 2 3 17 4
1 4 3 11 2
1 6 8 15 2
2 2 12 8 2
0 6 12 9 1
1 0 5 9 1
0 2 8 12 3
3 2 8 13 0
4 4 5 11 3
1 3 4 13 0
0 3 5 6 0
0 1 5 9 0
0 2 13 3 0
0 2 3 1 0
2 2 5 4 0
0 0 4 8 0
1 11 0 2 11
0 8 0 2 2
0 5 0 1 3
1 0 0 0 1
0 1 0 0 0
0 0 0 3 1
0 0 0 1 0
2 0 0 0 1
1 0 0 1 1
2 0 0 0 1
2 2 0 1 1
1 0 0 0 1
2 2 0 1 0
3 2 0 2 1
5 1 0 2 0
5 3 1 4 2
1 7 6 8 2
2 3 8 7 4
2 6 4 10 3
5 14 5 12 6
2 8 6 19 2
3 12 7 18 8
2 5 7 18 3
1 4 12 12 5
7 11 9 17 5
6 5 6 16 8
1 8 8 19 7
3 7 8 16 5
3 5 13 28 8
2 13 12 31 3
3 12 14 21 3
6 11 8 23 1
4 4 6 22 4
2 9 13 20 1
4 16 8 17 7
5 8 6 24 11
4 8 11 22 8
2 12 9 17 5
4 7 4 19 6
4 11 7 27 3
3 10 5 25 4
3 12 10 31 5
5 4 10 25 8
6 9 8 21 0
8 6 10 18 1
5 5 9 23 4
4 5 5 23 6
8 7 10 24 2
1 7 11 16 5
1 7 7 20 3
0 5 6 19 5
2 15 6 22 4
2 7 11 26 1
1 4 8 18 3
3 3 7 8 1
3 3 8 18 0
1 4 2 13 2
0 4 4 11 0
1 1 3 16 1
1 5 13 16 4
1 3 7 11 3
1 5 6 10 0
0 3 7 8 0
1 1 8 17 0
5 2 3 16 1
5 3 0 9 2
2 3 0 7 0
3 5 0 6 1
4 5 0 11 0
2 2 1 6 0
1 3 2 14 0
4 0 2 12 2
2 5 0 1 6
1 7 0 2 8
0 6 0 0 5
1 1 0 1 1
0 1 0 1 0
1 4 0 0 0
2 0 0 2 1
3 1 0 0 0
1 1 0 2 0
0 1 0 3 1
3 0 0 0 0
1 0 0 2 2
4 2 0 4 1
5 1 0 2 0
2 1 0 2 1
1 3 0 9 2
4 3 1 9 4
7 10 0 9 2
7 4 0 10 4
7 9 0 14 6
7 7 0 15 1
3 7 1 14 4
5 11 2 15 2
10 4 1 11 3
5 6 0 12 5
8 9 1 24 5
4 2 3 16 7
4 12 13 23 4
3 8 13 21 3
4 5 11 15 6
1 11 11 23 7
5 10 9 24 6
7 5 17 35 4
3 10 6 13 5
3 2 13 30 4
7 9 14 24 6
4 16 6 14 5
6 12 6 15 3
2 8 10 17 5
2 6 7 27 7
2 7 14 24 10
5 9 6 19 6
4 7 15 24 6
6 9 10 12 11
3 9 9 22 6
3 8 6 21 6
1 4 13 28 5
6 5 14 24 2
2 5 8 31 4
1 5 15 21 5
3 11 11 23 5
3 2 6 19 0
3 7 6 20 3
0 3 6 15 4
1 2 6 16 4
1 3 2 15 2
0 4 9 11 2
0 4 2 12 1
1 4 4 17 4
